poem_title,section,slug,path,versions,author_lines,viewport_width,content_width,font_size,font_family,automatic_wraps,affected_lines,affected_line_share,wrap_free
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,320,284,18,"""Times New Roman"", Times, serif",27,27,0.355263,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,320,284,17,"""Times New Roman"", Times, serif",23,23,0.302632,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,320,284,16,"""Times New Roman"", Times, serif",18,18,0.236842,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,360,324,18,"""Times New Roman"", Times, serif",16,16,0.210526,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,360,324,17,"""Times New Roman"", Times, serif",10,10,0.131579,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,360,324,16,"""Times New Roman"", Times, serif",5,5,0.065789,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,384,348,18,"""Times New Roman"", Times, serif",9,9,0.118421,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,384,348,17,"""Times New Roman"", Times, serif",5,5,0.065789,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,384,348,16,"""Times New Roman"", Times, serif",3,3,0.039474,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,390,354,18,"""Times New Roman"", Times, serif",6,6,0.078947,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,390,354,17,"""Times New Roman"", Times, serif",5,5,0.065789,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,390,354,16,"""Times New Roman"", Times, serif",3,3,0.039474,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,393,357,18,"""Times New Roman"", Times, serif",6,6,0.078947,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,393,357,17,"""Times New Roman"", Times, serif",5,5,0.065789,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,393,357,16,"""Times New Roman"", Times, serif",3,3,0.039474,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,414,378,18,"""Times New Roman"", Times, serif",5,5,0.065789,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,414,378,17,"""Times New Roman"", Times, serif",3,3,0.039474,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,414,378,16,"""Times New Roman"", Times, serif",2,2,0.026316,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,480,444,18,"""Times New Roman"", Times, serif",2,2,0.026316,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,480,444,17,"""Times New Roman"", Times, serif",1,1,0.013158,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,480,444,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,500,464,18,"""Times New Roman"", Times, serif",1,1,0.013158,false
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,500,464,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,500,464,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,535,499,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,535,499,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,535,499,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,536,500,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,536,500,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,536,500,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,760,724,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,760,724,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Две обезьяны,different,two-monkeys,/different/two-monkeys,7,76,760,724,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,320,284,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,320,284,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,320,284,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,360,324,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,360,324,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,360,324,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,384,348,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,384,348,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,384,348,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,390,354,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,390,354,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,390,354,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,393,357,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,393,357,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,393,357,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,414,378,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,414,378,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,414,378,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,480,444,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,480,444,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,480,444,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,500,464,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,500,464,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,500,464,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,535,499,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,535,499,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,535,499,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,536,500,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,536,500,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,536,500,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,760,724,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,760,724,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Похвала снам,different,praise-dreams,/different/praise-dreams,1,30,760,724,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,320,284,18,"""Times New Roman"", Times, serif",43,43,0.333333,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,320,284,17,"""Times New Roman"", Times, serif",26,26,0.201550,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,320,284,16,"""Times New Roman"", Times, serif",19,19,0.147287,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,360,324,18,"""Times New Roman"", Times, serif",15,15,0.116279,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,360,324,17,"""Times New Roman"", Times, serif",9,9,0.069767,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,360,324,16,"""Times New Roman"", Times, serif",2,2,0.015504,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,384,348,18,"""Times New Roman"", Times, serif",8,8,0.062016,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,384,348,17,"""Times New Roman"", Times, serif",1,1,0.007752,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,384,348,16,"""Times New Roman"", Times, serif",1,1,0.007752,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,390,354,18,"""Times New Roman"", Times, serif",5,5,0.038760,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,390,354,17,"""Times New Roman"", Times, serif",1,1,0.007752,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,390,354,16,"""Times New Roman"", Times, serif",1,1,0.007752,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,393,357,18,"""Times New Roman"", Times, serif",4,4,0.031008,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,393,357,17,"""Times New Roman"", Times, serif",1,1,0.007752,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,393,357,16,"""Times New Roman"", Times, serif",1,1,0.007752,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,414,378,18,"""Times New Roman"", Times, serif",1,1,0.007752,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,414,378,17,"""Times New Roman"", Times, serif",1,1,0.007752,false
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,414,378,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,480,444,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,480,444,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,480,444,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,500,464,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,500,464,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,500,464,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,535,499,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,535,499,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,535,499,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,536,500,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,536,500,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,536,500,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,760,724,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,760,724,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Монолог для Кассандры,different,soliloquy-for-cassandra,/different/soliloquy-for-cassandra,3,129,760,724,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Тень,different,shadow,/different/shadow,6,132,320,284,18,"""Times New Roman"", Times, serif",3,3,0.022727,false
Тень,different,shadow,/different/shadow,6,132,320,284,17,"""Times New Roman"", Times, serif",2,2,0.015152,false
Тень,different,shadow,/different/shadow,6,132,320,284,16,"""Times New Roman"", Times, serif",1,1,0.007576,false
